batch,AIRLINE_CODE,flight_count,avg_arr_delay,delay_rate_pct
1,B6,37,30.84,43.24
1,F9,16,25.06,37.5
1,G4,14,8.07,35.71
1,EV,9,16.56,33.33
1,YV,9,11.67,22.22
1,OH,33,1.88,21.21
1,WN,203,5.45,21.18
1,NK,36,9.83,19.44
1,AA,129,1.36,18.6
1,AS,38,-0.55,18.42
1,9E,35,2.31,17.14
1,YX,42,24.1,16.67
1,UA,79,-2.27,16.46
1,DL,144,-3.58,13.89
1,OO,120,0.41,11.67
1,MQ,36,-4.36,11.11
1,QX,9,0.67,11.11
1,HA,11,-6.91,9.09
2,B6,34,19.56,41.18
2,OH,32,9.44,25.0
2,F9,17,8.06,23.53
2,UA,76,6.71,22.37
2,WN,180,1.91,20.0
2,MQ,40,-0.18,20.0
2,EV,5,2.6,20.0
2,OO,110,0.57,17.27
2,AA,153,0.78,16.99
2,YX,42,1.76,14.29
2,AS,35,4.37,14.29
2,NK,28,0.14,14.29
2,G4,14,11.5,14.29
2,DL,148,-2.78,13.51
2,9E,52,-9.87,11.54
2,YV,18,-9.06,0.0
2,QX,3,0.33,0.0
2,HA,13,-4.92,0.0
3,G4,23,31.7,39.13
3,OH,38,11.03,34.21
3,NK,38,4.13,31.58
3,B6,46,8.91,28.26
3,UA,86,6.05,23.26
3,9E,35,0.77,20.0
3,AA,132,2.97,19.7
3,OO,115,0.35,17.39
3,WN,167,1.56,16.77
3,YX,55,-3.18,16.36
3,DL,148,0.11,14.19
3,YV,22,3.32,13.64
3,F9,25,5.96,12.0
3,HA,13,-5.31,7.69
3,MQ,29,-5.41,6.9
3,AS,25,-12.28,4.0
3,QX,2,0.5,0.0
3,EV,1,-25.0,0.0
4,QX,7,11.43,42.86
4,B6,30,24.53,33.33
4,F9,26,15.85,30.77
4,UA,71,9.46,29.58
4,AA,127,6.85,25.98
4,EV,4,-2.0,25.0
4,NK,41,10.59,24.39
4,WN,207,5.22,23.19
4,OO,130,5.12,16.92
4,G4,12,16.0,16.67
4,DL,136,8.68,16.18
4,MQ,26,9.81,15.38
4,YX,42,-3.29,11.9
4,9E,36,-3.42,11.11
4,OH,37,15.73,10.81
4,AS,42,0.38,9.52
4,HA,13,-1.85,7.69
4,YV,13,-10.31,0.0
5,NK,42,8.21,28.57
5,YX,48,5.15,25.0
5,B6,32,18.91,25.0
5,OH,50,7.76,24.0
5,MQ,46,1.04,23.91
5,G4,22,11.73,22.73
5,F9,20,6.45,20.0
5,AA,127,7.04,18.9
5,YV,22,15.59,18.18
5,UA,92,0.87,17.39
5,DL,139,4.13,15.11
5,AS,27,-1.3,14.81
5,WN,179,-1.41,14.53
5,OO,105,3.51,13.33
5,9E,33,-5.67,12.12
5,HA,9,-8.67,0.0
5,QX,5,-4.0,0.0
5,EV,2,-5.5,0.0
